person1Id|person2Id|startDate|endDate
6597069775223|28587302328862|1288569600000|1291161600000
17592186054023|17592186055291|1288569600000|1291161600000
26388279066764|32985348839999|1288569600000|1291161600000
21990232557814|28587302326530|1288569600000|1291161600000
9479|24189255818296|1288569600000|1291161600000
10995116286071|15393162797407|1288569600000|1291161600000
17592186053487|8796093026502|1288569600000|1291161600000
26388279067378|30786325580833|1288569600000|1291161600000
26388279072457|26388279069137|1288569600000|1291161600000
4398046518617|30786325582071|1288569600000|1291161600000
8796093023813|6597069772062|1296518400000|1298937600000
15393162798199|32985348842795|1296518400000|1298937600000
15393162796687|28587302325842|1296518400000|1298937600000
19791209307591|21990232559832|1296518400000|1298937600000
6597069767732|8796093030215|1296518400000|1298937600000
10995116287025|13194139537360|1296518400000|1298937600000
21990232565418|10995116288126|1296518400000|1298937600000
2199023258120|10995116283196|1296518400000|1298937600000
19791209307970|13194139534270|1296518400000|1298937600000
6597069776407|17592186047098|1296518400000|1298937600000
32985348840569|32985348837470|1298937600000|1301616000000
17592186049871|32985348836386|1298937600000|1301616000000
15393162796004|26388279066989|1298937600000|1301616000000
10995116278627|21990232557749|1298937600000|1301616000000
2199023256872|4398046513291|1298937600000|1301616000000
28587302327472|19791209304223|1298937600000|1301616000000
13194139536590|6597069773260|1298937600000|1301616000000
24189255820971|17592186047951|1298937600000|1301616000000
30786325580773|1521|1298937600000|1301616000000
10995116288363|4555|1298937600000|1301616000000
2199023257724|26388279075890|1301616000000|1304208000000
28587302322552|17592186045497|1301616000000|1304208000000
21990232563931|13194139534836|1301616000000|1304208000000
19791209305358|15393162792376|1301616000000|1304208000000
28587302325201|19791209309786|1301616000000|1304208000000
6597069775172|4398046512303|1301616000000|1304208000000
21990232560990|30786325578075|1301616000000|1304208000000
21990232558750|13194139542510|1301616000000|1304208000000
32985348833558|8504|1301616000000|1304208000000
21990232565867|30786325583309|1301616000000|1304208000000
10995116279596|30786325583394|1304208000000|1306886400000
15393162794813|2199023264157|1304208000000|1306886400000
32985348837637|21990232565935|1304208000000|1306886400000
28587302326940|10995116288322|1304208000000|1306886400000
28587302325670|4398046512999|1304208000000|1306886400000
32985348840312|28587302326977|1304208000000|1306886400000
24189255820472|15393162796967|1304208000000|1306886400000
10995116278300|8796093031333|1304208000000|1306886400000
17592186045165|28587302330570|1304208000000|1306886400000
26388279071453|5301|1304208000000|1306886400000
28587302325203|6597069774243|1309478400000|1312156800000
17592186048713|24189255813195|1309478400000|1312156800000
35184372093583|2199023260445|1309478400000|1312156800000
17592186055193|32985348843230|1309478400000|1312156800000
24189255812045|8796093031900|1309478400000|1312156800000
6597069772293|6597069776065|1309478400000|1312156800000
26388279071670|19791209308155|1309478400000|1312156800000
15393162798574|19791209301354|1309478400000|1312156800000
24189255815219|4398046518467|1309478400000|1312156800000
24189255814220|6597069766821|1309478400000|1312156800000
30786325582071|28587302332150|1317427200000|1320105600000
2199023256049|6597069767375|1317427200000|1320105600000
10995116285903|15393162792659|1317427200000|1320105600000
15393162790207|10995116278627|1317427200000|1320105600000
30786325577774|21990232556585|1317427200000|1320105600000
28587302328973|26388279070070|1317427200000|1320105600000
26388279068264|6597069777438|1317427200000|1320105600000
15393162796413|30786325582983|1317427200000|1320105600000
21990232563466|2199023256086|1317427200000|1320105600000
24189255821701|32985348842397|1317427200000|1320105600000
19791209308415|15393162789923|1322697600000|1325376000000
19791209306592|30786325581206|1322697600000|1325376000000
6597069767117|26388279072063|1322697600000|1325376000000
8796093022435|28587302326809|1322697600000|1325376000000
15393162789933|19791209302036|1322697600000|1325376000000
24189255816983|17592186048163|1322697600000|1325376000000
6597069771259|10995116283607|1322697600000|1325376000000
2199023260232|26388279069833|1322697600000|1325376000000
8796093025828|32985348836952|1322697600000|1325376000000
4398046511747|8796093032233|1322697600000|1325376000000
2199023262990|19791209309339|1325376000000|1328054400000
2199023261361|15393162797407|1325376000000|1328054400000
28587302327818|6597069773333|1325376000000|1328054400000
8796093026653|13194139539553|1325376000000|1328054400000
4398046512649|30786325580060|1325376000000|1328054400000
15393162793611|8796093029735|1325376000000|1328054400000
24189255811922|26388279070696|1325376000000|1328054400000
32985348839110|10240|1325376000000|1328054400000
4398046512306|8796093032197|1325376000000|1328054400000
19791209310478|13194139534668|1325376000000|1328054400000
2199023266520|8796093025804|1333238400000|1335830400000
10995116277907|8796093026338|1333238400000|1335830400000
17592186052272|30786325584456|1333238400000|1335830400000
10995116283384|8796093030364|1333238400000|1335830400000
10995116284314|2199023260376|1333238400000|1335830400000
8796093031549|19791209310670|1333238400000|1335830400000
4398046517867|13194139543686|1333238400000|1335830400000
32985348842795|15393162797634|1333238400000|1335830400000
24189255818533|30786325587276|1333238400000|1335830400000
28587302322530|4398046513915|1333238400000|1335830400000
